"id_promotoria","cod_competencia","id_assunto_principal","id_localidade_judicial","id_orgao_juizo"
1,5,3435,2706,270000536
1,46,3632,2706,270000536
1,5,11417,2741,270000644
1,46,3632,2706,270000536
1,46,3632,2706,270000536
1,46,3632,2706,270000536
1,5,3633,2706,270000536
1,5,3579,2706,270000536
1,5,4355,2706,270000536
1,5,5567,2706,270000536
1,5,5567,2706,270000536
1,5,3417,2706,270000536
1,5,3435,2706,270000536
1,46,3632,2706,270000536
1,46,3632,2706,270000536
1,46,3632,2706,270000536
1,5,3419,2706,270000536
1,5,12195,2706,270000536
1,5,3397,2706,270000536
1,46,3632,2706,270000536
1,46,3632,2706,270000536
1,6,3372,2706,270000536
1,5,3435,2706,270000536
1,5,3659,2706,270000536
1,5,3417,2706,270000536
1,5,11417,2706,270000536
1,5,3546,2706,270000536
1,5,3573,2706,270000536
1,5,3435,2706,270000536
1,5,5556,2706,270000536
1,5,3431,2706,270000536
1,5,3435,2706,270000536
1,5,3546,2706,270000536
1,5,12195,2706,270000536
1,5,3435,2706,270000536
1,5,3417,2706,270000536
1,5,3419,2706,270000536
1,5,7928,2706,270000536
1,5,3435,2706,270000536
1,5,3435,2706,270000536
1,46,3632,2706,270000536
1,46,3632,2706,270000536
1,5,3546,2706,270000536
1,46,3632,2706,270000536
1,5,3435,2706,270000536
1,5,3435,2706,270000536
1,5,3581,2706,270000536
1,5,3418,2706,270000537
1,5,4355,2706,270000536
1,5,3548,2706,270000536
1,46,3632,2706,270000536
1,5,3435,2706,270000536
1,5,7928,2706,270000536
1,46,3632,2706,270000536
1,5,3614,2706,270000536
1,5,3417,2706,270000536
1,5,11417,2706,270000537
1,5,3566,2706,270000536
1,5,3633,2706,270000536
1,5,3416,2706,270000536
1,5,14705,2706,270000536
1,5,3416,2706,270000536
1,5,3402,2706,270000536
1,5,3417,2706,270000536
1,5,3417,2706,270000536
1,6,3372,2706,270000536
1,5,3633,2741,270000644
1,5,4355,2706,270000536
1,5,3633,2741,270000644
1,5,3566,2706,270000536
1,46,3632,2706,270000536
1,5,3396,2706,270000536
1,5,5556,2706,270000536
1,5,3417,2706,270000536
1,5,3435,2706,270000536
1,5,11417,2706,270000537
1,46,3632,2706,270000536
1,5,3402,2706,270000536
1,9,5556,2706,270000536
1,5,3633,2706,270000536
1,5,3573,2706,270000536
1,46,3632,2706,270000536
1,5,3416,2706,270000536
1,6,3370,2706,270000536
1,5,3633,2706,270000536
1,5,12195,2706,270000536
1,5,3633,2706,270000536
1,5,3633,2706,270000536
1,5,3431,2718,270000606
1,5,3633,2706,270000536
1,5,3417,2706,270000536
1,46,3632,2706,270000536
1,5,3435,2706,270000536
1,5,3633,2706,270000536
1,5,3633,2706,270000536
1,5,3633,2706,270000536
1,46,3632,2706,270000536
1,5,7928,2706,270000536
1,5,3386,2706,270000536
1,5,3402,2706,270000536
1,5,5566,2706,270000536
1,5,3435,2706,270000536
1,46,3632,2706,270000536
1,5,3397,2706,270000536
1,46,3632,2706,270000536
1,46,3632,2706,270000536
1,5,5847,2706,270000536
1,5,3633,2706,270000536
1,5,10632,2706,270000536
1,46,3632,2706,270000536
1,46,3632,2706,270000536
1,5,10952,2706,270000537
1,45,3033651,2706,270000537
1,5,3419,2706,270000537
1,5,5566,2706,270000536
1,5,3419,2706,270000536
1,5,3419,2706,270000536
1,5,3417,2706,270000536
1,46,3632,2706,270000536
1,5,3435,2706,270000536
1,5,3417,2706,270000536
1,5,7928,2706,270000536
1,5,5571,2706,270000536
1,5,3435,2706,270000536
1,5,15056,2706,270000536
1,5,15056,2706,270000536
1,9,10949,2706,270000536
1,5,3633,2706,270000536
1,46,3632,2706,270000536
1,5,10640,2706,270000536
1,46,3632,2706,270000536
1,5,14238,2706,270000536
1,5,3573,2706,270000536
1,5,5885,2706,270000537
1,5,3546,2706,270000536
1,5,3573,2706,270000536
1,7,3608,2706,270000537
1,5,3633,2706,270000536
1,5,3633,2706,270000536
1,5,3633,2706,270000536
1,46,3632,2706,270000536
1,46,3632,2706,270000536
1,46,3632,2706,270000536
1,5,10891,2706,270000536
1,5,7928,2706,270000536
1,5,7928,2706,270000536
1,5,11417,2706,270000537
1,5,3637,2706,270000536
1,5,11417,2706,270000537
1,46,3632,2706,270000536
1,5,5568,2706,270000536
1,5,10640,2706,270000536
1,5,5566,2706,270000536
1,5,4355,2706,270000536
1,5,7929,2706,270000536
1,6,3370,2706,270000536
1,5,14878,2706,270000536
1,5,3465,2706,270000536
1,25,3402,2706,270000539
1,5,3633,2706,270000536
1,5,10632,2706,270000536
1,5,3406,2706,270000536
1,46,3632,2706,270000536
1,45,15174,2706,270000537
1,5,15056,2706,270000536
1,5,15056,2706,270000536
1,5,15056,2706,270000536
1,5,15056,2706,270000536
1,5,15056,2706,270000536
1,5,15056,2706,270000536
1,5,15056,2706,270000536
1,5,15056,2706,270000536
1,5,15056,2706,270000536
1,5,15056,2706,270000536
1,5,15056,2706,270000536
1,5,15056,2706,270000536
1,5,15056,2706,270000536
1,5,15056,2706,270000536
1,5,15056,2706,270000536
1,5,15056,2706,270000536
1,5,15056,2706,270000536
1,5,15056,2706,270000536
1,5,15056,2706,270000536
1,5,15056,2706,270000536
1,5,15056,2706,270000536
1,5,5568,2706,270000536
1,5,5568,2706,270000536
1,5,15056,2706,270000536
1,5,15056,2706,270000536
1,5,15056,2706,270000536
1,5,15056,2706,270000536
1,5,3397,2706,270000536
1,5,5568,2706,270000536
1,9,15174,2706,270000541
1,5,14684,2706,270000536
1,5,3659,2706,270000536
1,5,14935,2706,270000536
1,46,3632,2706,270000536
1,5,3402,2706,270000536
1,5,3417,2706,270000536
1,5,3395,2706,270000536
1,46,3632,2706,270000536
1,5,3436,2706,270000536
1,5,3633,2706,270000537
1,5,3435,2706,270000536
1,5,3576,2706,270000536
1,5,3572,2706,270000536
1,5,3435,2706,270000536
1,5,3419,2706,270000536
1,5,10640,2706,270000536
1,5,5847,2706,270000536
1,5,3417,2706,270000536
1,5,15056,2706,270000536
1,5,15056,2706,270000536
1,5,7928,2706,270000536
1,5,10607,2706,270000536
1,6,3372,2706,270000536
1,5,3628,2706,270000536
1,5,3628,2706,270000536
1,5,3417,2706,270000536
1,5,3417,2706,270000536
1,5,15056,2706,270000536
1,5,15056,2706,270000536
1,5,15056,2706,270000536
1,5,15056,2706,270000536
1,5,15056,2706,270000536
1,5,15056,2706,270000536
1,5,15056,2706,270000536
1,5,15056,2706,270000536
1,5,15056,2706,270000536
1,5,15056,2706,270000536
1,5,15056,2706,270000536
1,46,3632,2706,270000536
1,46,3632,2706,270000536
1,5,3406,2706,270000537
1,5,3633,2706,270000537
1,46,3632,2706,270000536
1,5,3417,2706,270000536
1,5,5566,2706,270000536
1,46,3632,2706,270000536
1,5,3633,2706,270000536
1,5,3659,2706,270000536
1,9,12194,2706,270000541
1,5,12397,2706,270000536
1,5,10914,2706,270000536
1,46,3632,2706,270000536
1,5,3633,2706,270000536
1,5,3435,2706,270000536
1,5,3436,2706,270000536
1,5,3546,2706,270000536
1,5,3546,2706,270000536
1,5,3633,2706,270000536
1,5,11154,2706,270000536
1,5,15056,2706,270000536
1,5,15056,2706,270000536
1,5,15056,2706,270000536
1,5,15056,2706,270000536
1,5,15056,2706,270000536
1,5,15056,2706,270000536
1,5,15056,2706,270000536
1,5,15056,2706,270000536
1,5,15056,2706,270000536
1,5,15056,2706,270000536
1,5,15056,2706,270000536
1,5,3633,2706,270000536
1,5,3465,2706,270000536
1,5,10904,2729,270000524
1,5,5566,2706,270000536
1,5,4355,2706,270000536
1,5,4355,2706,270000536
1,5,3417,2706,270000536
1,5,3396,2706,270000536
1,5,3416,2706,270000536
1,46,3632,2706,270000536
1,25,5571,2706,271000797
1,46,3632,2706,270000536
1,46,3632,2706,270000536
1,46,3632,2706,270000536
1,5,7928,2706,270000536
1,5,4355,2706,270000536
1,5,3573,2706,270000536
1,5,3633,2706,270000536
1,5,7928,2706,270000536
1,5,10949,2706,270000536
1,7,3608,2706,270000537
1,5,15056,2706,270000536
1,46,3632,2706,270000536
1,5,3416,2706,270000536
1,5,14698,2706,270000536
1,5,3416,2706,270000536
1,9,3402,2706,270000541
1,5,3416,2706,270000536
1,5,3566,2706,270000536
1,5,3416,2706,270000536
1,45,4355,2706,270000537
1,25,3572,2706,270000539
1,5,3416,2706,270000536
1,5,3416,2706,270000536
1,46,3632,2706,270000536
1,5,12398,2706,270000536
1,5,3431,2706,270000536
1,5,3573,2706,270000536
1,5,14787,2706,270000536
1,45,10950,2706,270000537
1,5,3391,2706,270000536
1,5,3633,2706,270000536
1,5,5566,2706,270000536
1,5,3633,2706,270000536
1,5,3417,2706,270000536
1,5,7928,2706,270000536
1,25,14957,2706,270000539
1,25,12347,2706,270000539
1,25,14957,2706,270000539
1,25,12347,2706,270000539
1,25,12347,2706,270000539
1,5,5566,2706,270000536
1,46,7928,2706,270000536
1,46,3632,2706,270000536
1,5,11959,2706,270000536
1,5,4355,2706,270000536
1,46,3632,2706,270000536
1,5,3546,2706,270000536
1,5,7928,2706,270000536
1,5,7928,2706,270000536
1,5,7928,2706,270000536
1,5,7928,2706,270000536
1,5,3417,2706,270000536
1,5,15056,2706,270000536
1,5,15056,2706,270000536
1,5,15056,2706,270000536
1,5,5566,2706,270000536
1,46,3632,2706,270000536
1,5,5885,2706,270000537
1,5,5885,2706,270000537
1,5,10609,2706,270000536
1,5,3633,2706,270000536
1,5,15056,2706,270000536
1,5,15056,2706,270000536
1,5,15056,2706,270000536
1,5,15056,2706,270000536
1,5,3396,2706,270000536
1,5,14957,2706,270000536
1,46,3632,2706,270000536
1,5,10952,2706,270000536
1,5,3386,2706,270000536
1,5,3416,2706,270000536
1,46,3632,2706,270000536
1,5,3417,2706,270000536
1,5,3417,2706,270000536
1,5,15056,2706,270000536
1,5,15056,2706,270000536
1,46,3632,2706,270000536
1,5,3633,2706,270000536
1,5,3416,2706,270000536
1,5,3431,2706,270000536
1,5,15056,2706,270000536
1,5,15056,2706,270000536
1,5,7928,2706,270000536
1,5,7928,2706,270000536
1,5,7928,2706,270000536
1,5,14957,2706,270000536
1,6,4355,2706,270000536
1,5,3419,2706,270000536
1,5,5566,2706,270000536
1,5,5566,2706,270000536
1,5,3419,2706,270000536
1,5,10914,2706,270000536
1,5,3419,2706,270000536
1,5,3419,2706,270000536
1,5,3431,2706,270000536
1,9,10949,2706,270000541
1,5,3633,2706,270000536
1,5,3420,2706,270000536
1,5,3431,2706,270000536
1,5,3386,2706,270000536
1,5,3633,2706,270000536
1,46,3632,2706,270000536
1,5,3417,2706,270000536
1,5,3546,2706,270000536
1,9,14943,2741,270000644
1,5,3397,2706,270000536
1,46,3632,2706,270000536
1,5,5571,2706,270000536
1,5,11417,2706,270000536
