"id_promotoria","nome"
"1","01ª PROMOTORIA DE JUSTIÇA DE ARAGUAINA"
"2","PROMOTORIA DE JUSTIÇA DE ALMAS"
"3","PROMOTORIA DE JUSTIÇA DE ARAGUACEMA"
"4","02ª PROMOTORIA DE JUSTIÇA DE ARAGUAINA"
"5","03ª PROMOTORIA DE JUSTIÇA DE ARAGUAINA"
"6","PROMOTORIA DE JUSTIÇA DE AURORA DO TOCANTINS"
"7","04ª PROMOTORIA DE JUSTIÇA DE ARAGUAINA"
"8","PROMOTORIA DE JUSTIÇA DE AXIXA DO TOCANTINS"
"9","05ª PROMOTORIA DE JUSTIÇA DE ARAGUAINA"
"10","PROMOTORIA DE JUSTIÇA DE FIGUEIROPOLIS"
"11","06ª PROMOTORIA DE JUSTIÇA DE ARAGUAINA"
"12","07ª PROMOTORIA DE JUSTIÇA DE ARAGUAINA"
"13","PROMOTORIA DE JUSTIÇA DE GOIATINS"
"14","08ª PROMOTORIA DE JUSTIÇA DE ARAGUAINA"
"15","09ª PROMOTORIA DE JUSTIÇA DE ARAGUAINA"
"16","PROMOTORIA DE JUSTIÇA DE ITACAJA"
"17","10ª PROMOTORIA DE JUSTIÇA DE ARAGUAINA"
"18","11ª PROMOTORIA DE JUSTIÇA DE ARAGUAINA"
"19","PROMOTORIA DE JUSTIÇA DE NOVO ACORDO"
"20","12ª PROMOTORIA DE JUSTIÇA DE ARAGUAINA"
"21","PROMOTORIA DE JUSTIÇA DE PIUM"
"22","01ª PROMOTORIA DE JUSTIÇA DE ARAGUATINS"
"23","02ª PROMOTORIA DE JUSTIÇA DE ARAGUATINS"
"24","PROMOTORIA DE JUSTIÇA DE PONTE ALTA DO TOCANTINS"
"25","01ª PROMOTORIA DE JUSTIÇA DE ARRAIAS"
"26","PROMOTORIA DE JUSTIÇA DE TOCANTINIA"
"27","01ª PROMOTORIA DE JUSTIÇA DE COLINAS DO TOCANTINS"
"28","02ª PROMOTORIA DE JUSTIÇA DE COLINAS DO TOCANTINS"
"29","PROMOTORIA DE JUSTIÇA DE WANDERLANDIA"
