"id_promotoria","cod_competencia","id_assunto_principal","id_localidade_judicial","id_orgao_juizo"
"1","5","3435","2706","270000536"
"1","46","3632","2706","270000536"
"1","5","11417","2741","270000644"
"1","46","3632","2706","270000536"
"1","46","3632","2706","270000536"
"1","46","3632","2706","270000536"
"1","5","3633","2706","270000536"
"1","5","3579","2706","270000536"
"1","5","4355","2706","270000536"
"1","5","5567","2706","270000536"
"1","5","5567","2706","270000536"
"1","5","3417","2706","270000536"
"1","5","3435","2706","270000536"
"1","46","3632","2706","270000536"
"1","46","3632","2706","270000536"
"1","46","3632","2706","270000536"
"1","5","3419","2706","270000536"
"1","5","12195","2706","270000536"
"1","5","3397","2706","270000536"
"1","46","3632","2706","270000536"
"3","5","11417","2704","270000577"
"3","3","10671","2704","270000576"
"3","5","3402","2704","270000577"
"3","5","3435","2704","270000577"
"3","5","14784","2704","270000577"
"3","25","3401","2704","270000577"
"3","5","7928","2704","270000577"
"3","5","3372","2704","270000577"
"3","5","3386","2704","270000577"
"3","32","12771","2704","270000710"
"3","5","3402","2704","270000577"
"3","5","3426","2704","270000577"
"3","25","3402","2704","270000577"
"3","9","14943","2704","270000577"
"3","5","3402","2704","270000577"
"3","25","3426","2704","270000577"
"3","25","3402","2704","270000577"
"3","25","3402","2704","270000577"
"3","9","3397","2704","270000577"
"3","3","6239","2704","270000576"
"4","5","3542","2706","270000537"
"4","9","15174","2706","270000541"
"4","5","12354","2706","270000537"
"4","5","3416","2706","270000537"
"4","46","3632","2706","270000537"
"4","5","15128","2706","270000537"
"4","46","3632","2706","270000537"
"4","46","3632","2706","270000537"
"4","46","3632","2706","270000537"
"4","5","3416","2741","270000644"
"4","5","3417","2706","270000537"
"4","46","3632","2706","270000537"
"4","46","3632","2706","270000537"
"4","46","3632","2706","270000537"
"4","46","3632","2706","270000537"
"4","5","3431","2706","270000537"
"4","46","7928","2706","270000537"
"4","45","11417","2706","270000537"
"4","5","3431","2706","270000537"
"4","46","3632","2706","270000537"
"5","5","7928","2706","270000537"
"5","12","15035","2706","270000540"
"5","7","3608","2706","270000537"
"5","5","14957","2706","270000537"
"5","5","12334","2706","270000537"
"5","7","3608","2706","270000537"
"5","7","3608","2706","270000537"
"5","7","3608","2706","270000537"
"5","7","3608","2706","270000537"
"5","7","3608","2706","270000537"
"5","7","3608","2706","270000537"
"5","7","3608","2706","270000537"
"5","7","3608","2706","270000537"
"5","7","3608","2706","270000537"
"5","5","14935","2706","270000537"
"5","5","4355","2706","270000537"
"5","7","3608","2706","270000537"
"5","7","3608","2706","270000537"
"5","7","3608","2706","270000537"
"5","7","3608","2706","270000537"
"7","6","4355","2706","270000536"
"7","6","3370","2706","270000536"
"7","5","7928","2706","270000536"
"7","6","7928","2706","270000536"
"7","6","7928","2706","270000536"
"7","6","7928","2706","270000536"
"7","6","7928","2706","270000536"
"7","6","7928","2706","270000536"
"7","6","3372","2706","270000536"
"7","6","3372","2706","270000536"
"7","5","7928","2706","270000536"
"7","5","10914","2706","270000536"
"7","6","10632","2706","270000536"
"7","6","7928","2706","270000536"
"7","6","3372","2706","270000536"
"7","6","4355","2706","270000536"
"7","6","14124","2706","270000536"
"7","6","3372","2706","270000536"
"7","6","4355","2706","270000536"
"7","6","4355","2706","270000536"
"8","3","9160","2724","270000613"
"9","10","12506","2706","270000665"
"9","10","12503","2706","270000665"
"9","41","12500","2743","271000815"
"9","10","12500","2706","270000665"
"9","34","12508","2706","270000662"
"9","34","12500","2706","270000662"
"9","34","12502","2706","270000662"
"9","34","12499","2706","270000662"
"9","34","12500","2706","270000662"
"9","34","12500","2706","270000662"
"9","10","12500","2706","270000665"
"9","34","12500","2706","270000662"
"9","10","12500","2706","270000665"
"9","34","12500","2706","270000662"
"9","34","12500","2706","270000662"
"9","34","12500","2706","270000662"
"9","10","9699","2706","270000665"
"9","10","9676","2706","270000665"
"9","10","12489","2706","270000665"
"9","10","12500","2706","270000665"
"11","25","3386","2706","270000539"
"11","25","3402","2706","270000539"
"11","25","14957","2706","270000539"
"11","25","3402","2706","270000539"
"11","25","3632","2706","270000539"
"11","25","3397","2706","270000539"
"11","25","3402","2706","270000539"
"11","25","3542","2706","270000539"
"11","25","5885","2706","270000539"
"11","25","5885","2706","270000539"
"11","25","12347","2706","270000539"
"11","25","3632","2706","270000539"
"11","25","3402","2706","270000539"
"11","25","5885","2706","270000539"
"11","25","11959","2706","270000539"
"11","25","3573","2706","270000539"
"11","25","3632","2706","270000539"
"11","25","3632","2706","270000539"
"11","5","3402","2706","270000537"
"11","25","11959","2706","270000539"
"12","25","12347","2706","271000797"
"12","25","10508","2718","270000606"
"12","2","11871","2706","270000661"
"12","2","10373","2706","270000661"
"12","2","11836","2706","270000661"
"12","2","15068","2706","270000661"
"12","2","7925","2706","270000661"
"12","2","7735","2706","270000661"
"12","2","10538","2706","270000661"
"12","25","3402","2706","271000797"
"12","25","12347","2706","271000797"
"12","2","9196","2706","270000661"
"12","2","10894","2706","270000661"
"12","12","15036","2706","270000540"
"12","25","11959","2706","271000797"
"12","25","14957","2706","271000797"
"12","2","15068","2706","270000661"
"12","2","3033612","2706","270000661"
"12","2","7732","2706","270000661"
"12","25","3632","2706","271000797"
"13","6","3372","2720","270000610"
"13","5","11417","2720","270000610"
"13","5","3633","2720","270000610"
"13","9","10949","2720","270000610"
"13","25","3402","2720","270000610"
"13","25","3406","2720","270000610"
"13","3","7677","2720","270000609"
"13","32","6238","2720","270000714"
"13","32","5802","2720","270000714"
"13","5","3431","2720","270000610"
"13","25","3402","2720","270000610"
"13","25","3386","2720","270000610"
"13","32","7677","2720","270000714"
"13","32","14923","2720","270000714"
"13","32","14923","2720","270000714"
"13","5","12774","2720","270000610"
"13","9","14684","2720","270000610"
"13","6","3370","2720","270000610"
"13","3","6239","2720","270000609"
"13","3","6239","2720","270000609"
"14","32","14923","2706","270000672"
"14","3","7676","2706","270000664"
"14","3","6239","2706","270000664"
"14","32","14923","2706","270000672"
"14","3","14923","2706","270000664"
"14","3","10859","2706","270000664"
"14","3","5802","2706","270000664"
"14","3","14923","2706","270000664"
"14","3","7676","2706","270000664"
"14","3","5804","2706","270000664"
"14","3","14923","2706","270000664"
"14","3","6239","2706","270000664"
"14","3","5804","2706","270000664"
"14","3","9180","2706","270000664"
"14","32","6239","2706","270000672"
"14","3","9180","2706","270000664"
"14","3","14923","2706","270000664"
"14","3","7687","2706","270000664"
"14","3","12245","2706","270000664"
"14","3","9180","2706","270000664"
"15","10","9860","2706","270000665"
"15","3","5802","2706","270000663"
"15","10","12822","2706","270000665"
"15","10","9694","2706","270000665"
"15","3","5805","2706","270000664"
"15","10","11388","2706","270000665"
"15","10","11388","2706","270000665"
"15","10","12500","2706","270000665"
"15","10","12005","2706","270000665"
"15","10","12005","2706","270000665"
"15","10","12002","2706","270000665"
"15","10","12502","2706","270000665"
"15","10","12090","2706","270000665"
"15","10","12494","2706","270000665"
"15","10","12005","2706","270000665"
"15","10","12002","2706","270000665"
"15","10","9973","2706","270000665"
"15","10","12816","2706","270000665"
"15","10","12005","2713","270000595"
"15","10","12002","2706","270000665"
"16","9","10949","2723","270000612"
"16","9","14943","2723","270000612"
"16","10","12002","2723","270000611"
"16","7","3608","2723","270000612"
"16","5","10949","2723","270000612"
"16","25","10508","2723","270000612"
"16","25","3402","2723","270000612"
"16","3","5802","2723","270000611"
"16","5","14782","2723","270000612"
"16","2","7834","2723","270000611"
"16","3","6239","2723","270000611"
"16","9","10949","2723","270000612"
"16","9","10949","2723","270000612"
"16","9","10949","2723","270000612"
"16","5","12354","2723","270000612"
"16","5","12354","2723","270000612"
"16","5","12354","2723","270000612"
"16","3","7677","2723","270000611"
"16","32","6239","2723","270000715"
"16","3","5802","2723","270000611"
"17","3","7677","2706","270000663"
"17","32","5802","2706","270000672"
"17","3","10859","2706","270000663"
"17","3","12245","2706","270000663"
"17","3","6239","2706","270000663"
"17","3","5802","2706","270000663"
"17","3","10859","2706","270000663"
"17","3","9180","2706","270000663"
"17","3","14126","2706","270000663"
"17","3","5802","2706","270000663"
"17","3","9180","2706","270000663"
"17","3","9180","2706","270000663"
"17","3","5802","2706","270000663"
"17","3","14923","2706","270000663"
"17","3","9180","2706","270000663"
"17","3","14923","2706","270000663"
"17","3","9180","2706","270000663"
"17","3","5802","2706","270000663"
"17","3","9180","2706","270000663"
"17","3","6239","2706","270000663"
"18","9","15174","2706","270000541"
"18","9","10949","2706","270000541"
"18","9","10949","2706","270000541"
"18","9","10949","2706","270000541"
"18","9","10949","2706","270000541"
"18","9","12345","2706","270000541"
"18","9","10949","2706","270000541"
"18","9","10949","2706","270000541"
"18","9","10949","2706","270000541"
"18","9","3402","2706","270000541"
"18","9","10949","2706","270000541"
"18","9","10949","2706","270000541"
"18","9","10949","2706","270000541"
"18","9","10949","2706","270000541"
"18","9","10949","2706","270000541"
"18","9","10949","2706","270000541"
"18","9","10949","2706","270000541"
"18","9","10949","2706","270000541"
"18","9","10949","2706","270000541"
"18","9","10949","2706","270000541"
"19","9","3402","2728","270000623"
"19","25","3386","2728","270000623"
"19","9","10949","2728","270000623"
"19","9","10949","2728","270000623"
"19","10","12384","2728","270000622"
"19","5","3492","2728","270000623"
"19","5","3417","2728","270000623"
"19","5","3416","2728","270000623"
"19","5","3417","2728","270000623"
"19","9","10949","2728","270000623"
"19","25","3396","2728","270000623"
"19","2","12416","2728","270000622"
"19","2","10010","2728","270000622"
"19","5","3370","2728","270000623"
"19","5","3492","2728","270000623"
"19","9","14943","2728","270000623"
"19","25","3402","2728","270000623"
"19","5","3659","2728","270000623"
"19","9","10949","2728","270000623"
"19","1","13319","2728","270000622"
"20","2","11836","2706","270000661"
"20","25","10986","2706","270000539"
"20","25","14798","2706","271000797"
"20","5","15056","2706","270000536"
"20","5","15056","2706","270000536"
"20","5","15056","2706","270000537"
"20","25","3620","2706","271000797"
"20","5","14782","2706","270000536"
"20","5","3621","2706","270000537"
"20","5","3621","2706","270000537"
"20","25","14957","2706","271000797"
"20","9","10949","2706","270000541"
"20","25","3621","2706","271000797"
"20","5","14782","2706","270000536"
"20","5","14782","2706","270000537"
"20","25","14790","2706","271000797"
"20","5","3621","2706","270000537"
"20","25","3620","2706","270000539"
"20","5","3621","2706","270000537"
"20","5","3621","2706","270000537"
"22","9","12194","2707","270000581"
"22","5","3370","2707","270000581"
"22","5","3416","2707","270000581"
"22","9","3402","2707","270000581"
"22","9","3397","2707","270000581"
"22","5","3419","2707","270000581"
"22","5","3402","2707","270000581"
"22","5","3402","2707","270000581"
"22","5","3465","2707","270000581"
"22","6","3372","2707","270000581"
"22","4","9596","2707","270000652"
"22","25","14957","2707","270000581"
"22","25","14957","2707","270000581"
"22","3","12245","2707","270000652"
"22","5","3431","2707","270000581"
